participant_id,cue_file,enc_trial_count,enc_condition_id,enc_low_prediction,enc_high_prediction,enc_direction,enc_scn_type,enc_target_file,enc_target_sat,enc_acc,ret_trial_count,ret_trial_type,ret_trial_type_code,cue_recog_response,cue_recog_acc,outcome_response,outcome_memory_acc,afc_response_num,afc_response_story,afc_response_sat,afc_acc,afc_story_acc,afc_sat_acc
31,stimuli/01-01_02_02_116_Slide-01.png,21.0,5.0,1.0,0.0,0,1,stimuli/01-01_02_02_116_Slide-06.png,0.0,1.0,67.0,old,1.0,new,0,no,0.0,3.0,stimuli/01-01_02_02_116_Slide-06.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_02_01_71_Slide-01.png,22.0,3.0,0.0,1.0,0,0,stimuli/01-01_02_01_71_Slide-08.png,1.0,1.0,64.0,old,1.0,new,0,no,0.0,3.0,stimuli/01-01_02_01_71_Slide-06.png,1.0,0.0,0.0,1.0
31,stimuli/01-02_01_01_129_Slide-01.png,23.0,7.0,1.0,1.0,0,0,stimuli/01-02_01_01_129_Slide-08.png,0.0,1.0,4.0,old,1.0,old,1,yes,1.0,1.0,stimuli/01-02_01_01_129_Slide-08.png,0.0,1.0,1.0,1.0
31,stimuli/01-01_02_02_118_Slide-01.png,24.0,5.0,1.0,0.0,0,1,stimuli/01-01_02_02_118_Slide-06.png,0.0,1.0,55.0,old,1.0,new,0,no,0.0,2.0,stimuli/01-01_02_02_118_Slide-06.png,0.0,1.0,1.0,1.0
31,stimuli/01-02_02_01_203_Slide-01.png,25.0,3.0,0.0,1.0,0,0,stimuli/01-02_02_01_203_Slide-08.png,1.0,1.0,56.0,old,1.0,old,1,yes,1.0,4.0,stimuli/01-02_02_01_203_Slide-08.png,1.0,1.0,1.0,1.0
31,stimuli/01-02_01_01_136_Slide-01.png,26.0,7.0,1.0,1.0,0,0,stimuli/01-02_01_01_136_Slide-08.png,0.0,1.0,27.0,old,1.0,old,1,no,0.0,4.0,stimuli/01-02_01_01_136_Slide-06.png,0.0,0.0,0.0,1.0
31,stimuli/01-01_01_02_41_Slide-01.png,27.0,1.0,0.0,0.0,0,1,stimuli/01-01_01_02_41_Slide-06.png,1.0,1.0,14.0,old,1.0,old,1,no,1.0,4.0,stimuli/01-01_01_02_41_Slide-06.png,1.0,1.0,1.0,1.0
31,stimuli/01-02_01_01_130_Slide-01.png,28.0,7.0,1.0,1.0,0,0,stimuli/01-02_01_01_130_Slide-08.png,0.0,1.0,36.0,old,1.0,old,1,yes,1.0,2.0,stimuli/01-02_01_01_130_Slide-08.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_02_02_110_Slide-01.png,29.0,5.0,1.0,0.0,0,1,stimuli/01-01_02_02_110_Slide-06.png,0.0,1.0,77.0,old,1.0,new,0,yes,1.0,2.0,stimuli/01-01_02_02_110_Slide-06.png,1.0,0.0,1.0,0.0
31,stimuli/01-01_01_01_04_Slide-01.png,30.0,7.0,1.0,1.0,0,0,stimuli/01-01_01_01_04_Slide-08.png,0.0,1.0,72.0,old,1.0,new,0,yes,1.0,4.0,stimuli/01-01_01_01_04_Slide-06.png,0.0,0.0,0.0,1.0
31,stimuli/02-02_01_02_121_Slide-09.png,31.0,2.0,0.0,0.0,1,1,stimuli/02-02_01_02_121_Slide-14.png,0.0,1.0,80.0,old,1.0,new,0,yes,0.0,4.0,stimuli/02-02_01_02_121_Slide-16.png,0.0,0.0,0.0,1.0
31,stimuli/01-01_02_02_99_Slide-01.png,32.0,5.0,1.0,0.0,0,1,stimuli/01-01_02_02_99_Slide-06.png,0.0,1.0,19.0,old,1.0,old,1,no,0.0,1.0,stimuli/01-01_02_02_99_Slide-06.png,0.0,1.0,1.0,1.0
31,stimuli/02-02_02_01_16_Slide-09.png,33.0,4.0,0.0,1.0,1,0,stimuli/02-02_02_01_16_Slide-16.png,0.0,1.0,8.0,old,1.0,new,0,no,0.0,2.0,stimuli/02-02_02_01_16_Slide-16.png,1.0,0.0,1.0,0.0
31,stimuli/02-02_02_02_52_Slide-09.png,34.0,6.0,1.0,0.0,1,1,stimuli/02-02_02_02_52_Slide-14.png,1.0,1.0,51.0,old,1.0,old,1,no,0.0,1.0,stimuli/02-02_02_02_52_Slide-14.png,1.0,1.0,1.0,1.0
31,stimuli/02-02_01_01_27_Slide-09.png,35.0,8.0,1.0,1.0,1,0,stimuli/02-02_01_01_27_Slide-16.png,1.0,1.0,70.0,old,1.0,new,0,no,0.0,4.0,stimuli/02-02_01_01_27_Slide-16.png,1.0,1.0,1.0,1.0
31,stimuli/01-02_02_02_247_Slide-01.png,36.0,5.0,1.0,0.0,0,1,stimuli/01-02_02_02_247_Slide-06.png,0.0,1.0,44.0,old,1.0,new,0,no,0.0,1.0,stimuli/01-02_02_02_247_Slide-06.png,0.0,1.0,1.0,1.0
31,stimuli/02-02_02_01_22_Slide-09.png,37.0,4.0,0.0,1.0,1,0,stimuli/02-02_02_01_22_Slide-16.png,0.0,1.0,3.0,old,1.0,new,0,no,0.0,3.0,stimuli/02-02_02_01_22_Slide-16.png,1.0,0.0,1.0,0.0
